Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
aerobics leggings,Red & pink,False,700,175,Pink,Red,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics0,5197,Smui8G3P6D8WgqK9G,True,False,2020-08-13
aerobics leggings,Emerald & lime,False,700,175,Green,Light blue,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics1,9794,eZKx89GvGsXcSDiMk,True,False,2020-08-13
aerobics leggings,Purple & orange,False,700,175,Orange,Purple,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics2,9795,jWvfpeefbhQpHQFoM,True,False,2020-08-13
aerobics leggings,Light blue & salmon pink,False,700,175,Pink,Light blue,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics3,9796,nYBBFZjyvYjTSN4fD,True,False,2020-08-13
aerobics leggings,Yellow & blue,False,700,175,Blue,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics4,9797,gYqiyt5aP9KjqNnXQ,True,False,2020-08-13
Aran-knit socks,Beige,False,720,180,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan0,4742,stTCJiLMdhmZ2ztyw,True,False,2020-08-13
Aran-knit socks,White,False,720,180,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan1,9058,XX9wX5KzyENyLGa5e,True,False,2020-08-13
Aran-knit socks,Red,False,720,180,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan2,9059,7xkmotJQfLFN6Rohx,True,False,2020-08-13
Aran-knit socks,Green,False,720,180,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan3,9060,NH6u8astq42zMebAa,True,False,2020-08-13
Aran-knit socks,Blue,False,720,180,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan4,9061,Gardfqrryv6SLZSQB,True,False,2020-08-13
